,VW,VW_PREF,spread,spread_rolling_mean,spread_rolling_std,spread_rolling_z_score,Trade,Returns
0,38.546,26.579,0.4502426727867865,,,,0.0,0.0
1,38.947,26.749,0.45601704736625687,,,,0.0,0.0
2,39.878,27.354,0.45784894348175775,,,,0.0,0.0
3,40.802,27.87,0.4640114818801578,,,,0.0,0.0
4,40.802,27.831,0.4660630232474579,,,,0.0,0.0
5,39.303,27.018,0.45469686875416376,,,,0.0,0.0
6,39.486,27.268,0.4480709989731552,,,,0.0,0.0
7,39.148,26.964,0.45186174158136794,,,,0.0,0.0
8,38.972,27.228,0.43132069928015276,,,,0.0,0.0
9,39.498,27.528,0.43482999128160416,,,,0.0,0.0
10,38.68,27.31,0.4163310142804834,,,,0.0,0.0
11,38.47,27.278,0.4102940098247672,,,,0.0,0.0
12,38.477,27.092,0.4202347556474235,,,,0.0,0.0
13,37.93,27.114,0.3989083130486095,,,,0.0,0.0
14,38.156,26.863,0.4203923612403678,,,,0.0,0.0
15,38.406,26.928,0.42624777183600704,,,,0.0,0.0
16,38.157,27.098,0.40811129972691707,,,,0.0,0.0
17,38.656,27.362,0.41276222498355386,,,,0.0,0.0
18,39.042,27.42,0.42385120350109406,,,,0.0,0.0
19,39.114,27.51,0.4218102508178842,0.43369533367699836,0.020661018471828725,-0.5752418679320894,0.0,0.0
20,41.916,28.8,0.4554166666666665,0.4339540333709925,0.02091000687932125,1.0264288012692773,0.0,0.0
21,41.732,28.769,0.4505891758490042,0.4336826397951298,0.02064208482868778,0.8190323891304919,0.0,0.0
22,41.929,29.544,0.41920525318169516,0.4317504552801267,0.020061399705457235,-0.6253403193506428,0.0,0.0
23,41.378,28.918,0.4308735043917284,0.4300935564057052,0.018569675808002343,0.042001163299097706,0.0,0.0
24,40.708,28.381,0.4343398752686656,0.4285073990067655,0.016584290451466747,0.3516868134315781,0.0,0.0
25,41.364,29.14,0.4194921070693204,0.4267471609225234,0.015490495399296278,-0.4683551859505159,0.0,0.0
26,42.097,29.686,0.41807586067506575,0.4252474040076189,0.014751723305739173,-0.48614952869696637,0.0,0.0
27,43.017,30.208,0.4240267478813561,0.4238556543226183,0.013355624012432501,0.012810600132088288,0.0,0.0
28,43.205,30.608,0.41155906952430726,0.422867572834826,0.013504451826247788,-0.8373907698007477,0.0,0.0
29,43.888,31.453,0.3953517947413601,0.42089366300781383,0.014511567713036883,-1.7601039923141761,0.0,0.0
30,44.131,31.634,0.39504963014478095,0.4198295938010287,0.015602931165229624,-1.588160800931346,0.0,0.0
31,43.467,31.129,0.3963506697934401,0.4191324267994624,0.01634527041236814,-1.393782814922646,0.0,0.0
32,42.53,31.387,0.35501959409946793,0.4158716687220646,0.021731348633710366,-2.8001977994223965,0.0,0.0
33,42.763,31.174,0.37175210110989926,0.4145138581251291,0.023613874794721323,-1.8108742164072476,-1.0,0.01425607249513769
34,43.267,31.68,0.36575126262626273,0.4117818031944238,0.02594390508650812,-1.7742333089284552,-1.0,0.00019509669739042543
35,43.635,31.861,0.3695427011079375,0.40894654965802035,0.02734067940444544,-1.441216875674128,-1.0,0.005935235091570236
36,44.083,32.089,0.3737729439995014,0.40722963187164957,0.02845150168500697,-1.1759199300815386,-1.0,0.006955839251454867
37,44.095,31.799,0.38667882637818796,0.4059254619413813,0.028780457414029927,-0.6687397384383115,-1.0,0.00949374356495647
38,44.749,32.366,0.382592844342829,0.40386254398346805,0.02890633337429165,-0.7358145139070336,-1.0,0.0030483009980873353
39,45.572,32.692,0.3939801786369755,0.4024710403744226,0.02866573361690862,-0.296202492178283,-1.0,0.01545605962708169
40,44.562,32.303,0.3795003560040863,0.3986752248412936,0.02620667861628579,-0.731678711291987,-1.0,-0.018852183237637835
41,44.463,32.203,0.380709871751079,0.39518125963639733,0.023432489616828926,-0.6175779066567962,-1.0,4.056991842353282e-05
42,45.076,32.596,0.3828690636887963,0.39336445016175237,0.022873763173991948,-0.458839518146694,-1.0,0.006978799514661757
43,45.172,32.629,0.38441263906340983,0.3910414068953364,0.021158856507529016,-0.31328573118154235,-1.0,0.0019337763903043111
44,45.212,32.538,0.3895137992501078,0.38880010309440854,0.018543482799679753,0.038487708237397465,-1.0,0.004022633314779422
45,45.542,32.865,0.3857294994675186,0.3871119727143185,0.017081519942742925,-0.08093385433111015,0.0,0.0
46,45.838,33.003,0.3889040390267552,0.3856533816319029,0.015467602019842671,0.21015910486203287,0.0,0.0
47,45.854,33.007,0.38922046838549407,0.38391306765710986,0.012618538051563478,0.42060345712763453,0.0,0.0
48,45.604,32.8,0.39036585365853665,0.3828534068638213,0.010954936298113628,0.6857590578604233,0.0,0.0
49,44.896,32.351,0.3877778121232729,0.382474707732917,0.010626119169801844,0.4990631391963591,0.0,0.0
50,45.277,32.817,0.37968126276015485,0.38170628936368567,0.010216702241025633,-0.19820746027022645,0.0,0.0
51,45.154,32.727,0.3797170531976658,0.38087460853389693,0.009621533993172907,-0.12030881323627712,0.0,0.0
52,44.941,32.773,0.3712812376041253,0.38168769070912983,0.007844654073658187,-1.326566220421204,0.0,0.0
53,44.758,32.63,0.3716825007661661,0.3816842106919432,0.007849307700186482,-1.2742155496770082,0.0,0.0
54,44.262,32.521,0.3610282586636327,0.38144806049381164,0.008405246412626908,-2.429411444678527,0.0,0.0
55,44.442,32.479,0.36833030573601405,0.38138744072521547,0.008499472400141518,-1.5362288827461819,-1.0,0.006828028412933086
56,44.971,32.634,0.37804130661273505,0.38160085885587713,0.008350495408176223,-0.4262683911731534,-1.0,0.011537799666832344
57,45.107,32.632,0.38229345427800937,0.38138159025086826,0.008267301021799,0.11029766845754477,-1.0,0.004228722270609448
58,45.13,32.749,0.3780573452624507,0.3811548152968493,0.00829448766917574,-0.37343717393293746,0.0,0.0
59,44.681,32.666,0.3678136288495684,0.3798464878074789,0.008228432359537149,-1.4623513243034496,0.0,0.0
60,45.132,33.063,0.3650303965157425,0.3791229898330618,0.008871487890320974,-1.5885264672112909,0.0,0.0
61,45.22,33.171,0.36323897380241776,0.3782494449356287,0.009541832571580804,-1.5731224605551966,0.0,0.0
62,45.628,33.156,0.3761611774641091,0.37791405062439437,0.009488649741402535,-0.18473367739951774,0.0,0.0
63,45.275,33.07,0.3690656183852434,0.377146699590486,0.00955576859006805,-0.8456756909791491,0.0,0.0
64,45.21,32.831,0.37705217629679255,0.3765236184428203,0.0091024598523875,0.05806758420732067,0.0,0.0
65,45.343,32.769,0.38371631725106065,0.3764229593319973,0.009005918397585843,0.8098405511889168,0.0,0.0
66,44.943,32.483,0.38358525998214454,0.37615702037976684,0.008690985914714235,0.8547062065537764,0.0,0.0
67,44.191,32.474,0.36081172630412045,0.37473658327569814,0.008764771088261607,-1.5887302510646093,0.0,0.0
68,44.905,32.645,0.37555521519375085,0.37399605135245884,0.007963837171184183,0.19578047714656763,0.0,0.0
69,44.462,32.743,0.35790856060837434,0.37250258877671394,0.008043608664116717,-1.8143632762052326,0.0,0.0
70,45.138,32.817,0.3754456531675655,0.3722908082970845,0.007899115256602588,0.39939218102229723,0.0,0.0
71,44.789,32.685,0.37032277803273667,0.371821094538838,0.007711358076885525,-0.1942999522473828,0.0,0.0
