"mdate","MktRF","SMB","HML","RF","WML"
200005,-0.0845,-0.0033,-0.0308,0.005,-0.0539
200006,0.1078,-0.0456,0.0174,0.004,0.0106
200007,-0.0065,-0.0067,0.0366,0.0048,-0.0338
200008,0.0221,-0.0289,0.0497,0.005,-0.0051
200009,-0.0745,-0.0446,0.0469,0.0051,0.0042
200010,-0.0609,-0.0251,0.0154,0.0056,-0.0363
200011,-0.0098,-0.0026,0.0319,0.0051,-0.0248
200012,0.0409,-0.0574,0.0604,0.005,0.0114
200101,0.0281,-0.0223,-0.0067,0.0054,-0.0027
200102,-0.037,0.0022,0.0866,0.0038,0.0355
200103,-0.1324,-0.0125,0.0805,0.0042,0.0652
200104,0.065,0.0033,-0.0528,0.0039,-0.0333
200105,-0.0015,0.0492,0.0519,0.0032,0.0219
200106,0.0136,0,6e-04,0.0028,0.0417
200107,-0.0397,-0.0335,0.0123,0.003,0.0399
200108,-0.0108,-0.0078,-0.0194,0.0031,0.079
200109,-0.1418,-0.0219,0.0023,0.0028,0.0516
200110,0.058,0.0355,-0.0113,0.0022,0.0278
200111,0.0857,-0.0042,0.0088,0.0017,-0.0549
200112,0.023,-0.0261,0.0298,0.0015,-0.0138
200201,0.0152,0.0347,0.0254,0.0014,-8e-04
200202,-0.0164,0.0088,0.0179,0.0013,0.0683
200203,0.0454,0.0079,0.0023,0.0013,0.0046
200204,0.0064,-0.021,0.0608,0.0015,0.015
200205,0.0199,0.0398,0.0037,0.0014,0.0589
200206,-0.0551,-0.008,0.0401,0.0013,0.0563
200207,-0.0615,-0.0351,0.0121,0.0015,0.0087
200208,3e-04,0.0172,-0.0262,0.0014,0.0459
200209,-0.074,-0.0072,-0.0084,0.0014,0.0371
200210,0.0455,-0.0308,0.0065,0.0014,-0.0042
200211,0.0257,-0.0288,0.0342,0.0012,-0.0176
200212,-0.0314,0.0439,-0.013,0.0011,0.05
200301,0.0166,0.0148,-0.0047,0.001,0.0308
200302,-0.014,0.0067,0.0356,9e-04,0.0547
200303,-0.0052,-0.0191,-0.0276,0.001,0.0359
200304,0.0454,-0.0143,-0.0352,0.001,0.0204
200305,0.0717,0.0207,0.0616,9e-04,-0.0148
200306,0.0377,0.0116,0.0044,0.001,0.0364
200307,0.0338,0.05,0.0631,7e-04,-0.0249
200308,0.0635,0.0191,0.0704,7e-04,-0.0457
200309,0.0534,0.0337,0.0111,8e-04,-0.0033
200310,0.0624,-0.0041,0.0044,7e-04,0.0117
200311,0.0019,0.0067,-0.019,7e-04,-0.0019
200312,0.0518,-0.0059,-0.0231,8e-04,0.0188
200401,0.0444,0.0048,0.0828,7e-04,0.0073
200402,0.0373,0.0083,0.0089,6e-04,0.0148
200403,-0.0159,-0.016,-0.0269,9e-04,1e-04
200404,-0.0553,-0.0189,-0.0038,8e-04,-0.0399
200405,0.0011,-0.0234,-0.0016,6e-04,0.0099
200406,0.0045,-0.0095,-4e-04,8e-04,0.004
200407,0.0098,0.0087,-0.0027,0.001,0.0162
200408,0.026,-0.0315,0.0382,0.0011,0.0245
200409,0.0537,0.0083,-0.023,0.0011,0.0315
200410,0.0321,0.0187,-0.0253,0.0011,0.037
200411,0.077,-7e-04,0.0205,0.0015,0.0416
200412,0.0286,-0.0076,0.0238,0.0016,0.0145
200501,-0.0038,0.0308,-0.0074,0.0016,0.0071
200502,0.0374,-0.0133,-0.0046,0.0016,0.0219
200503,-0.0307,-0.0061,0.012,0.0021,0.0017
200504,-0.0071,-0.0323,0.0393,0.0021,-0.0168
200505,-0.0021,-0.0322,0.0105,0.0024,-0.0066
200506,0.04,-0.0235,-0.0059,0.0023,0.033
200507,0.0356,-0.016,0.0054,0.0024,-0.0072
200508,8e-04,0.0136,-0.0183,0.003,0.0373
200509,0.0396,9e-04,-0.0272,0.0029,0.0193
200510,-0.0602,0.0153,0.0039,0.0027,-0.0125
200511,0.0311,-0.0149,-0.006,0.0031,0.0083
200512,0.0197,-0.0088,-0.0032,0.0032,0.0109
200601,0.0618,0.0077,-0.0033,0.0035,0.0656
200602,-0.0025,0.0248,0.0281,0.0034,0.0142
200603,0.0198,0.0302,0.0127,0.0037,0.0494
200604,0.0653,-0.0064,-0.0162,0.0036,0.0262
200605,-0.0575,0.003,-0.0031,0.0043,0.0025
200606,-0.0039,-0.0256,0.0064,0.004,-6e-04
200607,0.0111,0.0171,-0.0078,0.004,0.0049
200608,0.0246,-0.005,-0.002,0.0042,0.0158
200609,-0.0011,-0.0023,0.024,0.0041,-0.0128
200610,0.0602,0.0228,-0.0522,0.0041,0.0242
200611,0.0449,0.0124,0.016,0.0042,0.0292
200612,0.04,-0.0135,-0.0022,0.004,0.0169
200701,0.0177,0.0339,0.0326,0.0044,0.01
200702,0.009,0.0178,-6e-04,0.0038,0.0068
200703,0.0465,0.0127,-0.0202,0.0043,0.0287
200704,0.047,0.0427,-6e-04,0.0044,0.0252
200705,0.0315,0.0519,0.0429,0.0041,0.0117
200706,0.0233,0.0351,0.0031,0.004,0.0118
200707,0.0131,0.0251,0.0351,0.004,0.0211
200708,-0.042,-0.1058,-0.0051,0.0042,-0.0424
200709,0.128,-0.0371,-0.0495,0.0032,0.0591
200710,0.082,-0.0275,-0.0112,0.0032,0.0342
200711,-0.0655,-0.0328,0.0271,0.0034,-0.0151
200712,-0.0074,-0.0038,0.0081,0.0027,-0.0327
200801,-0.1082,-0.0453,0.0129,0.0021,-0.0511
200802,0.0289,0.0237,-0.0447,0.0013,0.0688
200803,-0.0553,-0.0428,0.0226,0.0017,-0.0182
200804,0.0719,-0.0292,-0.0087,0.0018,0.0377
200805,0.032,0.034,-0.0455,0.0018,0.0516
200806,-0.0812,-0.0012,-0.0139,0.0017,0.0694
200807,-0.0526,-0.0357,0.0565,0.0015,-0.0437
200808,-0.0664,-0.0406,-0.0158,0.0013,0.023
200809,-0.1771,-0.0172,0.0334,0.0015,-0.0318
200810,-0.26,-0.0738,0.0362,8e-04,0.0352
200811,-0.0616,-0.018,0.0433,3e-04,0.0444
200812,0.0741,0.0193,0.0254,0,-0.095
200901,-0.076,-0.0077,0.0312,0,0.0215
200902,-0.0479,0.038,-0.0425,1e-04,0.0031
200903,0.1081,-0.0198,-0.065,2e-04,-0.1059
200904,0.1395,0.0068,-0.0153,1e-04,-0.1417
200905,0.1849,0.1037,0.0535,0,-0.1803
200906,0.0182,-0.0042,-0.027,1e-04,0.0041
200907,0.1282,-0.0132,0.0668,1e-04,-0.0251
200908,0.0164,0.0451,-0.051,1e-04,-0.0449
200909,0.087,0.0032,0.0052,1e-04,-0.0026
200910,0.0125,0.0155,0.0216,0,0.0125
200911,0.0265,0.0216,-0.0257,0,0.0125
200912,0.0245,-0.0075,0.015,1e-04,0.0067
201001,-0.0625,0.0433,-2e-04,0,-0.0271
201002,0.0263,-0.0247,0.0157,0,0.01
201003,0.0765,-0.0063,0.0121,1e-04,0.0167
201004,0.0076,0.0412,-0.0087,1e-04,0.0042
201005,-0.1222,-0.0325,0.0156,1e-04,-0.0397
201006,-0.002,-0.0154,0.013,1e-04,-0.0191
201007,0.0956,-0.0069,-0.0091,1e-04,0.0056
201008,-0.0079,-0.001,0.0047,1e-04,0.0342
201009,0.1284,0.017,-0.008,1e-04,-0.0123
201010,0.037,0.0178,-0.0232,1e-04,0.0132
201011,-0.0115,0.0095,0.0066,1e-04,0.0514
201012,0.0676,0.0319,-0.0282,1e-04,0.0021
201101,-0.0079,-0.0137,0.03,1e-04,0.0041
201102,-7e-04,0.0102,-0.0436,1e-04,0.0115
201103,0.0208,-0.0061,-0.0168,1e-04,0.0031
201104,0.0477,-0.0057,-0.0053,0,0.0212
201105,-0.0253,-0.023,0.0201,0,0.0431
201106,-0.0232,-0.0229,-6e-04,0,0.0015
201107,0.0129,0.0184,-0.0106,0,0.0437
201108,-0.0667,-0.0208,-0.0188,1e-04,0.01
201109,-0.1579,-0.0056,0.0192,0,-0.0352
201110,0.1398,-0.03,-0.0089,0,-0.011
201111,-0.0653,0.0125,-0.0107,0,0.054
201112,-0.0104,-0.0201,0.012,0,-0.0011
201201,0.0986,-0.0258,0.0069,0,-0.0538
201202,0.0528,0.0289,0.008,0,-0.042
201203,-0.0216,0.0047,-0.0012,0,0.0537
201204,0.0116,-0.0235,0.0132,0,0.0194
201205,-0.1142,0.0015,0.0362,1e-04,0.0474
201206,0.0447,-0.033,0.0126,0,0.0394
201207,0.0476,-0.0397,0.0148,0,0.0391
201208,0.0114,0.0077,0.0023,1e-04,0.0199
201209,0.0446,0.0075,0.0161,1e-04,-0.0113
201210,0.0177,-0.0049,-0.0064,1e-04,-0.0016
201211,0.0161,-0.0316,0.0289,1e-04,0.0505
201212,0.0284,0.0148,0.0085,1e-04,-0.0116
201301,0.0554,0.0083,0.0294,0,0.0176
201302,0.0115,-0.0092,0.0144,0,0.0356
201303,-0.0031,0,-0.0088,0,0.0652
201304,0.0246,-0.0584,0.0216,0,0.0799
201305,-0.062,0.0128,0.0311,0,-0.0101
201306,-0.0622,-0.0036,0.015,0,0.0353
201307,0.0347,0.0243,-0.0291,0,0.0081
201308,-0.0022,0.0125,-0.0175,0,0.0092
201309,0.0678,0.0078,-0.0198,0,0.0153
201310,0.0349,-0.0286,0.0074,0,0.0189
201311,-0.0221,-0.0062,0.0175,0,0.052
201312,-0.002,0.0088,-0.0119,0,0.0341
201401,-0.0444,0.0389,-0.012,0,0.0114
201402,0.0549,-0.0147,-0.0106,0,0.019
201403,0.0166,-0.0028,0.007,0,-0.0212
201404,0.0142,-0.0416,0.0257,0,-0.029
201405,0.0175,-0.008,0.0159,0,0.0142
201406,0.0013,0.0129,0.0079,0,0.0099
201407,0.0332,-0.001,0.0277,0,-0.0026
201408,-0.0014,0.0218,-8e-04,0,-0.0194
201409,-0.0815,0.0164,0.039,0,-0.005
201410,0.0356,-0.0485,-0.0198,0,0.0238
201411,-0.0272,-6e-04,0.0224,0,0.0494
201412,-0.031,-0.0234,0.008,0,0.0454
201501,0.0038,-0.0342,0.0442,0,0.0503
201502,0.0325,1e-04,-0.0319,0,0.0046
201503,-0.0083,0.0014,0.0108,0,0.0645
201504,0.0622,0.1072,0.0052,0,0.056
201505,-0.0155,0.0872,0.0064,0,0.0584
201506,-0.0447,0.0121,-0.0026,0,0.0377
201507,-0.0345,-0.0619,-0.0277,0,-0.0545
201508,-0.1081,-0.0113,0.008,0,-0.0011
201509,-0.0309,0.0317,-0.0032,0,0.0457
201510,0.073,-0.0132,0.0117,0,-0.0337
201511,-0.0208,0.0212,-0.0292,0,0.0405
201512,0.0188,-2e-04,-0.0265,1e-04,0.0259
201601,-0.0903,-0.0084,-0.0035,1e-04,-0.007
201602,0.0075,-0.0074,0.0321,2e-04,-0.0128
201603,0.1065,-0.0245,0.0104,2e-04,-0.0404
201604,0.0144,0.0167,0.0195,1e-04,-0.0064
201605,-0.0179,0.0015,-0.0204,1e-04,0.0342
201606,0.0044,0.0055,0.0103,2e-04,0.0358
201607,0.0587,-0.0371,0.0194,2e-04,0.0342
201608,-0.0045,0.0121,0.0189,2e-04,-0.02
201609,0.0268,0.0155,0.006,2e-04,-0.0114
201610,-0.0145,0.0122,0.0281,2e-04,-0.0157
201611,-0.0029,-0.0172,0.0094,1e-04,-0.0441
201612,-0.019,0.0087,0.0119,3e-04,-0.0068
201701,0.059,-0.0177,0.0333,4e-04,0.0296
201702,0.0223,-0.0158,0.0262,4e-04,-0.0192
201703,0.0282,-0.0254,-0.0106,3e-04,0.0189
201704,0.0027,-0.0164,0.0125,5e-04,0.0056
201705,-0.0021,-0.013,0.0069,6e-04,0.0011
201706,0.0191,-0.0181,-0.0092,6e-04,0.0085
201707,0.0321,-0.0011,0.0257,7e-04,0.013
201708,0.0059,-0.0102,0.0176,9e-04,0.016
201709,-0.0021,0.0169,-0.0181,9e-04,0.016
201710,0.0152,0.0151,0.0127,9e-04,0.0227
201711,0.01,-0.0175,-0.0082,8e-04,0.0118
201712,0.0303,0.0102,-0.0363,9e-04,6e-04
201801,0.0412,-0.0176,0.0126,0.0011,0.0099
201802,-0.0315,-0.0046,0.0026,0.0011,0.0192
201803,-0.0336,0.0098,0.0066,0.0012,0.0095
201804,0.0183,-0.0484,0.0219,0.0014,0.017
201805,0.0026,0.0082,-0.0269,0.0014,0.0096
201806,-0.03,-0.0123,-0.0058,0.0014,-0.0138
201807,0.0117,-0.0272,0.0135,0.0016,-0.0091
201808,-0.0243,-0.0155,-0.0302,0.0016,0.0033
201809,-0.0082,0.0029,0.0315,0.0015,-0.0019
201810,-0.094,0.0024,0.0152,0.0019,-0.0183
201811,0.0336,-0.0144,-0.0121,0.0018,-0.0328
201812,-0.026,-0.025,0.0117,0.0019,0.0099
201901,0.064,-0.0496,0.0094,0.0021,-0.0042
201902,0.0334,-0.0102,-0.0018,0.0018,-0.0062
201903,0.0075,-0.0026,0.0127,0.0019,0.0379
201904,0.0161,-0.0044,-0.0237,0.0021,-0.003
201905,-0.043,0.0074,-0.0179,0.0021,0.0599
201906,0.0507,-0.0429,0.0011,0.0018,0.0325
201907,-0.0144,0.0138,-0.0351,0.0019,-0.0016
201908,-0.0627,0.0197,-0.0294,0.0016,0.0237
201909,0.0116,0.0123,0.0054,0.0018,-0.0134
201910,0.0281,-0.0271,-0.0034,0.0015,0.0146
201911,-0.0019,-0.0153,-0.0079,0.0012,-0.0075
201912,0.0299,0.015,0.0123,0.0014,0.0193
202001,-0.0287,-0.0096,-0.0286,0.0013,0.0372
202002,-0.0679,-0.0253,0.0352,0.0012,-0.0315
202003,-0.1908,-0.027,0.0103,0.0012,-0.028
202004,0.1112,0.0152,-0.0583,0,0.0486
202005,0.0032,0.0668,-0.0857,1e-04,0.0047
202006,0.0758,-0.0309,0.012,1e-04,0.0309
